Time,X(CH1),X(CH2),
Second,Volt,Volt,
-6.8757790e-01,-0.00000e+00,1.46000e-01,
-6.8728495e-01,-0.00000e+00,1.42000e-01,
-6.8699199e-01,2.00001e-01,1.40000e-01,
-6.8669903e-01,-0.00000e+00,1.42000e-01,
-6.8640608e-01,-0.00000e+00,1.40000e-01,
-6.8611312e-01,-0.00000e+00,1.42000e-01,
-6.8582016e-01,-0.00000e+00,1.42000e-01,
-6.8552721e-01,-0.00000e+00,1.42000e-01,
-6.8523425e-01,-0.00000e+00,1.40000e-01,
-6.8494129e-01,-0.00000e+00,1.40000e-01,
-6.8464833e-01,2.00001e-01,1.42000e-01,
-6.8435538e-01,-0.00000e+00,1.40000e-01,
-6.8406242e-01,-0.00000e+00,1.40000e-01,
-6.8376946e-01,-0.00000e+00,1.40000e-01,
-6.8347651e-01,-0.00000e+00,1.40000e-01,
-6.8318355e-01,2.00001e-01,1.38000e-01,
-6.8289059e-01,-0.00000e+00,1.44000e-01,
-6.8259764e-01,2.00001e-01,1.38000e-01,
-6.8230468e-01,-0.00000e+00,1.38000e-01,
-6.8201172e-01,2.00001e-01,1.38000e-01,
-6.8171877e-01,-0.00000e+00,1.36000e-01,
-6.8142581e-01,-0.00000e+00,1.38000e-01,
-6.8113285e-01,-0.00000e+00,1.34000e-01,
-6.8083990e-01,-0.00000e+00,1.36000e-01,
-6.8054694e-01,-0.00000e+00,1.34000e-01,
-6.8025398e-01,-0.00000e+00,1.36000e-01,
-6.7996103e-01,2.00001e-01,1.34000e-01,
-6.7966807e-01,-0.00000e+00,1.34000e-01,
-6.7937511e-01,2.00001e-01,1.38000e-01,
-6.7908216e-01,-0.00000e+00,1.38000e-01,
-6.7878920e-01,-0.00000e+00,1.36000e-01,
-6.7849624e-01,-0.00000e+00,1.40000e-01,
-6.7820328e-01,-0.00000e+00,1.38000e-01,
-6.7791033e-01,-0.00000e+00,1.40000e-01,
-6.7761737e-01,2.00001e-01,1.40000e-01,
-6.7732441e-01,-0.00000e+00,1.38000e-01,
-6.7703146e-01,2.00001e-01,1.40000e-01,
-6.7673850e-01,-0.00000e+00,1.42000e-01,
-6.7644554e-01,-0.00000e+00,1.42000e-01,
-6.7615259e-01,-0.00000e+00,1.42000e-01,
-6.7585963e-01,-0.00000e+00,1.42000e-01,
-6.7556667e-01,-0.00000e+00,1.44000e-01,
-6.7527372e-01,-0.00000e+00,1.44000e-01,
-6.7498076e-01,-0.00000e+00,1.44000e-01,
-6.7468780e-01,2.00001e-01,1.44000e-01,
-6.7439485e-01,-0.00000e+00,1.44000e-01,
-6.7410189e-01,-0.00000e+00,1.42000e-01,
-6.7380893e-01,-0.00000e+00,1.46000e-01,
-6.7351598e-01,-0.00000e+00,1.44000e-01,
-6.7322302e-01,-0.00000e+00,1.46000e-01,
-6.7293006e-01,2.00001e-01,1.44000e-01,
-6.7263710e-01,-0.00000e+00,1.44000e-01,
-6.7234415e-01,-0.00000e+00,1.42000e-01,
-6.7205119e-01,-0.00000e+00,1.46000e-01,
-6.7175823e-01,-0.00000e+00,1.44000e-01,
-6.7146528e-01,-0.00000e+00,1.44000e-01,
-6.7117232e-01,2.00001e-01,1.44000e-01,
-6.7087936e-01,-0.00000e+00,1.42000e-01,
-6.7058641e-01,-0.00000e+00,1.46000e-01,
-6.7029345e-01,-0.00000e+00,1.46000e-01,
-6.7000049e-01,-0.00000e+00,1.42000e-01,
-6.6970754e-01,-0.00000e+00,1.44000e-01,
-6.6941458e-01,2.00001e-01,1.46000e-01,
-6.6912162e-01,2.00001e-01,1.42000e-01,
-6.6882867e-01,-0.00000e+00,1.42000e-01,
-6.6853571e-01,-0.00000e+00,1.44000e-01,
-6.6824275e-01,-0.00000e+00,1.42000e-01,
-6.6794980e-01,-0.00000e+00,1.42000e-01,
-6.6765684e-01,-0.00000e+00,1.46000e-01,
-6.6736388e-01,-0.00000e+00,1.42000e-01,
-6.6707093e-01,-0.00000e+00,1.42000e-01,
-6.6677797e-01,-0.00000e+00,1.40000e-01,
-6.6648501e-01,-0.00000e+00,1.40000e-01,
-6.6619205e-01,-0.00000e+00,1.42000e-01,
